City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
54,Faanui,PF,2020-09-27 00:37:06,-16.48,-151.75,78.93,78,87,12.86,overcast clouds
55,Galesong,ID,2020-09-27 00:37:06,-5.32,119.37,82.4,74,20,2.24,few clouds
56,Barrow,US,2020-09-27 00:37:06,71.29,-156.79,32.0,96,90,11.41,light snow
57,Souillac,MU,2020-09-27 00:37:06,-20.52,57.52,68.0,88,75,3.36,broken clouds
58,Hermanus,ZA,2020-09-27 00:37:06,-34.42,19.23,44.01,94,77,1.01,broken clouds
59,Kaitangata,NZ,2020-09-27 00:37:07,-46.28,169.85,51.01,60,44,15.99,scattered clouds
60,Lasem,ID,2020-09-27 00:37:07,-6.69,111.45,82.53,67,100,10.42,overcast clouds
61,Port Lincoln,AU,2020-09-27 00:36:06,-34.73,135.87,55.9,64,0,15.48,clear sky
62,Borazjan,IR,2020-09-27 00:37:07,29.27,51.22,75.99,42,0,2.06,clear sky
63,Khatanga,RU,2020-09-27 00:37:07,71.97,102.5,42.44,90,100,18.03,light rain
64,Mwense,ZM,2020-09-27 00:37:07,-10.38,28.7,65.32,69,0,3.36,clear sky
65,Puerto Ayora,EC,2020-09-27 00:37:08,-0.74,-90.35,69.01,87,27,4.0,scattered clouds
66,Pevek,RU,2020-09-27 00:37:08,69.7,170.31,36.66,92,80,9.95,broken clouds
67,Alburikent,RU,2020-09-27 00:37:08,42.97,47.47,66.2,88,20,6.71,few clouds
68,Ossora,RU,2020-09-27 00:37:08,59.24,163.07,47.93,65,88,7.47,overcast clouds
69,Cayenne,GF,2020-09-27 00:37:08,4.93,-52.33,80.6,83,0,2.24,clear sky
70,Umm Kaddadah,SD,2020-09-27 00:37:09,13.6,26.69,86.49,41,48,8.28,scattered clouds
71,Praya,CV,2020-09-27 00:37:09,14.92,-23.51,78.8,88,20,2.24,few clouds
72,Hailey,US,2020-09-27 00:37:09,43.52,-114.32,59.0,40,5,5.82,clear sky
73,Vangaindrano,MG,2020-09-27 00:37:09,-23.35,47.6,65.28,89,3,7.49,clear sky
74,Ginda,IN,2020-09-27 00:37:09,30.69,78.49,71.6,94,40,3.36,mist
75,Sisimiut,GL,2020-09-27 00:37:10,66.94,-53.67,34.16,89,100,8.95,overcast clouds
76,Jasper,US,2020-09-27 00:37:10,37.2,-94.35,79.0,57,1,16.11,clear sky
77,Albany,US,2020-09-27 00:35:31,42.6,-73.97,72.0,95,0,5.23,clear sky
78,Sterling,US,2020-09-27 00:36:47,39.01,-77.43,69.8,77,90,4.7,overcast clouds
79,Bethel,US,2020-09-27 00:33:03,41.37,-73.41,68.0,88,75,4.14,broken clouds
80,Mandalgovi,MN,2020-09-27 00:37:10,45.76,106.27,46.24,47,99,13.33,overcast clouds
81,Vaini,TO,2020-09-27 00:37:11,-21.2,-175.2,78.8,69,20,11.41,few clouds
82,Leningradskiy,RU,2020-09-27 00:37:11,69.38,178.42,33.35,94,100,9.13,overcast clouds
83,Mutsu,JP,2020-09-27 00:37:11,41.29,141.22,64.99,68,75,3.36,broken clouds
84,Petropavlovsk-Kamchatskiy,RU,2020-09-27 00:37:11,53.05,158.65,51.8,43,0,2.24,clear sky
85,Haines Junction,CA,2020-09-27 00:33:30,60.75,-137.51,45.73,78,100,5.97,light rain
86,Yulara,AU,2020-09-27 00:37:12,-25.24,130.99,68.0,20,0,13.87,clear sky
87,Ambilobe,MG,2020-09-27 00:33:13,-13.2,49.05,66.07,85,0,4.03,clear sky
88,Dikson,RU,2020-09-27 00:33:09,73.51,80.55,37.6,81,100,25.26,overcast clouds
89,Auki,SB,2020-09-27 00:37:12,-8.77,160.7,86.23,64,66,4.07,broken clouds
90,Tuktoyaktuk,CA,2020-09-27 00:37:12,69.45,-133.04,37.4,93,90,13.87,light rain
91,Puerto Escondido,MX,2020-09-27 00:33:48,15.85,-97.07,82.4,65,75,5.82,broken clouds
92,Upernavik,GL,2020-09-27 00:34:02,72.79,-56.15,28.65,92,99,5.32,overcast clouds
93,Coihaique,CL,2020-09-27 00:37:12,-45.58,-72.07,46.4,70,40,7.92,scattered clouds
94,Mumbwa,ZM,2020-09-27 00:37:13,-14.98,27.06,68.77,24,0,6.8,clear sky
95,Hobart,AU,2020-09-27 00:33:27,-42.88,147.33,52.0,49,75,12.75,broken clouds
96,Flinders,AU,2020-09-27 00:37:13,-34.58,150.86,63.0,42,75,9.17,broken clouds
97,Mar Del Plata,AR,2020-09-27 00:33:06,-38.0,-57.56,54.0,100,90,9.17,light rain
98,Ancud,CL,2020-09-27 00:37:13,-41.87,-73.82,48.99,90,60,5.64,broken clouds
99,Norman Wells,CA,2020-09-27 00:37:13,65.28,-126.83,44.6,70,75,5.82,broken clouds
100,Keti Bandar,PK,2020-09-27 00:37:14,24.14,67.45,80.92,80,7,16.22,clear sky
101,Bani,DO,2020-09-27 00:37:14,18.28,-70.33,80.01,89,100,1.01,overcast clouds
102,Odweyne,SO,2020-09-27 00:37:14,9.41,45.06,75.29,54,0,7.34,clear sky
103,Walvis Bay,NA,2020-09-27 00:37:14,-22.96,14.51,51.01,81,0,3.36,clear sky
104,Panshi,CN,2020-09-27 00:37:15,42.94,126.06,61.09,73,0,4.99,clear sky
105,San Patricio,MX,2020-09-27 00:34:07,19.22,-104.7,86.0,74,40,6.93,scattered clouds
106,Cap Malheureux,MU,2020-09-27 00:37:15,-19.98,57.61,68.0,82,30,3.0,light rain
107,Cidreira,BR,2020-09-27 00:33:14,-30.18,-50.21,64.49,94,98,20.24,overcast clouds
108,Usinsk,RU,2020-09-27 00:37:15,65.99,57.53,48.38,95,100,13.4,overcast clouds
109,Avera,US,2020-09-27 00:34:10,33.19,-82.53,69.8,74,1,2.21,clear sky
110,Osorno,CL,2020-09-27 00:37:15,-40.57,-73.15,51.8,71,100,9.17,overcast clouds
111,Atuona,PF,2020-09-27 00:36:06,-9.8,-139.03,78.46,73,4,12.41,clear sky
112,Novo Aripuana,BR,2020-09-27 00:37:16,-5.12,-60.38,74.71,88,100,1.59,overcast clouds
113,Busselton,AU,2020-09-27 00:37:16,-33.65,115.33,53.01,100,100,6.51,overcast clouds
114,Cape Town,ZA,2020-09-27 00:36:07,-33.93,18.42,46.4,93,40,4.7,scattered clouds
115,Bambous Virieux,MU,2020-09-27 00:32:58,-20.34,57.76,68.0,88,75,3.36,broken clouds
116,Narsaq,GL,2020-09-27 00:33:28,60.92,-46.05,33.8,64,0,4.21,clear sky
117,Port-Cartier,CA,2020-09-27 00:37:16,50.03,-66.87,46.99,75,90,8.05,overcast clouds
118,Itoman,JP,2020-09-27 00:37:16,26.12,127.67,73.4,83,75,9.17,light rain
119,Saint-Philippe,RE,2020-09-27 00:33:30,-21.36,55.77,68.0,60,40,8.05,scattered clouds
120,Aborlan,PH,2020-09-27 00:37:17,9.44,118.55,80.6,88,40,4.7,scattered clouds
121,Alofi,NU,2020-09-27 00:35:46,-19.06,-169.92,77.0,69,78,19.46,broken clouds
122,Longyearbyen,SJ,2020-09-27 00:35:53,78.22,15.64,28.4,79,75,5.82,broken clouds
123,Sambava,MG,2020-09-27 00:37:17,-14.27,50.17,67.64,83,0,6.49,clear sky
124,Sorland,NO,2020-09-27 00:37:17,67.67,12.69,43.86,68,4,14.36,clear sky
125,Zhuhai,CN,2020-09-27 00:37:17,22.28,113.57,82.4,83,40,14.99,scattered clouds
126,Georgetown,MY,2020-09-27 00:37:06,5.41,100.34,78.8,78,40,5.82,scattered clouds
127,Hayvoron,UA,2020-09-27 00:37:18,48.34,29.87,65.89,80,98,17.98,light rain
128,Mount Gambier,AU,2020-09-27 00:37:18,-37.83,140.77,53.6,71,75,6.93,broken clouds
129,Klaksvik,FO,2020-09-27 00:37:18,62.23,-6.59,44.6,87,100,11.41,overcast clouds
130,Lorengau,PG,2020-09-27 00:37:18,-2.02,147.27,81.64,79,100,8.1,overcast clouds
131,Amazar,RU,2020-09-27 00:33:09,53.86,120.88,44.85,75,0,10.63,clear sky
132,Yerbogachen,RU,2020-09-27 00:37:19,61.28,108.01,41.27,72,0,7.29,clear sky
133,Clyde River,CA,2020-09-27 00:36:08,70.47,-68.59,28.4,86,90,10.29,overcast clouds
134,Ucluelet,CA,2020-09-27 00:33:45,48.93,-125.55,60.01,82,20,6.93,few clouds
135,Havre-Saint-Pierre,CA,2020-09-27 00:37:19,50.23,-63.6,46.4,75,90,9.17,overcast clouds
136,San Rafael,AR,2020-09-27 00:37:19,-34.62,-68.33,59.2,34,0,13.04,clear sky
137,El Porvenir,HN,2020-09-27 00:37:19,13.76,-87.35,77.0,73,75,6.93,broken clouds
138,Urumqi,CN,2020-09-27 00:37:20,43.8,87.6,46.4,55,24,4.47,few clouds
139,Bredasdorp,ZA,2020-09-27 00:37:20,-34.53,20.04,46.4,87,81,9.17,light rain
140,Bonavista,CA,2020-09-27 00:37:20,48.65,-53.11,52.23,71,100,8.43,overcast clouds
141,Bandiagara,ML,2020-09-27 00:37:20,14.35,-3.61,82.4,88,100,11.97,overcast clouds
142,Pisco,PE,2020-09-27 00:37:20,-13.7,-76.22,64.99,82,0,13.87,clear sky
143,Laredo,US,2020-09-27 00:35:25,27.51,-99.51,93.2,49,1,12.75,clear sky
144,Waingapu,ID,2020-09-27 00:37:21,-9.66,120.26,86.47,51,32,10.2,scattered clouds
145,Antsohihy,MG,2020-09-27 00:33:32,-14.88,47.99,65.91,89,0,4.63,clear sky
146,Ust-Kut,RU,2020-09-27 00:37:21,56.79,105.77,41.72,82,100,4.54,overcast clouds
147,Yarada,IN,2020-09-27 00:37:21,17.65,83.27,80.6,100,90,3.36,mist
148,Dudinka,RU,2020-09-27 00:37:21,69.41,86.18,42.8,93,75,24.61,light rain
149,Abha,SA,2020-09-27 00:37:22,18.22,42.51,66.2,27,0,4.7,clear sky
150,Beloha,MG,2020-09-27 00:37:22,-25.17,45.05,66.88,84,0,3.44,clear sky
151,Tuatapere,NZ,2020-09-27 00:37:22,-46.13,167.68,46.0,85,93,13.0,overcast clouds
152,Trairi,BR,2020-09-27 00:37:22,-3.28,-39.27,77.02,81,6,11.54,clear sky
153,Thompson,CA,2020-09-27 00:37:22,55.74,-97.86,51.8,76,75,5.82,broken clouds
154,Luderitz,NA,2020-09-27 00:37:23,-26.65,15.16,52.99,68,0,22.53,clear sky
155,Temnikov,RU,2020-09-27 00:37:23,54.63,43.21,48.16,59,27,7.63,scattered clouds
156,Chuy,UY,2020-09-27 00:36:08,-33.7,-53.46,60.85,93,100,9.86,moderate rain
157,Manokwari,ID,2020-09-27 00:37:23,-0.87,134.08,84.13,67,0,5.32,clear sky
158,Marsa Matruh,EG,2020-09-27 00:37:23,31.35,27.25,75.2,73,0,6.93,clear sky
159,Mahebourg,MU,2020-09-27 00:32:55,-20.41,57.7,68.0,88,75,3.36,broken clouds
160,Lompoc,US,2020-09-27 00:37:24,34.64,-120.46,68.0,72,1,13.87,clear sky
161,Vanavara,RU,2020-09-27 00:37:24,60.34,102.28,38.97,78,0,4.65,clear sky
162,Gazanjyk,TM,2020-09-27 00:37:24,39.24,55.52,58.32,32,96,15.32,overcast clouds
163,Albina,SR,2020-09-27 00:37:24,5.5,-54.05,74.16,95,12,1.7,few clouds
164,Adrar,MR,2020-09-27 00:37:25,20.5,-10.07,94.51,10,0,9.4,clear sky
165,Avarua,CK,2020-09-27 00:32:57,-21.21,-159.78,73.4,78,67,6.93,broken clouds
166,Shamkhal,RU,2020-09-27 00:37:25,43.06,47.34,66.2,88,20,6.71,few clouds
167,Tuxtla,MX,2020-09-27 00:37:25,16.75,-93.12,78.8,83,75,5.82,broken clouds
168,Slave Lake,CA,2020-09-27 00:37:25,55.28,-114.77,59.0,47,90,23.04,overcast clouds
169,Nikolskoye,RU,2020-09-27 00:37:25,59.7,30.79,54.0,87,5,8.95,clear sky
170,Lazaro Cardenas,MX,2020-09-27 00:33:38,17.96,-102.2,80.35,81,0,3.87,clear sky
