City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
499,Mackay,AU,80.01,scattered clouds,-21.15,149.2,International Lodge Motel
509,Capuluan,PH,85.91,overcast clouds,13.81,122.52,
518,Dubai,AE,86.0,clear sky,25.26,55.3,"Radisson Blu Hotel, Dubai Deira Creek"
523,Mazagao,BR,84.2,broken clouds,-0.12,-51.29,Casa Lima Santos
526,Nouakchott,MR,84.2,clear sky,18.09,-15.98,Hôtel Iman
528,San Cristobal,VE,84.2,thunderstorm,7.77,-72.22,Pirineos
541,Nova Olimpia,BR,82.85,broken clouds,-14.8,-57.29,Motel glamour
542,Taganak,PH,82.4,few clouds,6.08,118.3,
544,Pochutla,MX,80.6,overcast clouds,15.74,-96.47,Hotel Posada San Jose
551,Isangel,VU,82.4,broken clouds,-19.55,169.27,Volcano Sea View Tree House
554,Karratha,AU,81.39,clear sky,-20.74,116.85,ibis Styles Karratha
562,Sao Filipe,CV,81.34,broken clouds,14.9,-24.5,Tortuga B&B
571,Douentza,ML,84.25,overcast clouds,15.0,-2.95,Ogomono Doumbo
572,Roebourne,AU,81.88,clear sky,-20.78,117.13,Harding River Caravan Park
585,Bodden Town,KY,87.01,thunderstorm,19.28,-81.25,Will T Place
586,Nanakuli,US,89.6,overcast clouds,21.39,-158.15,Camp Pālehua
592,Nortelandia,BR,80.55,broken clouds,-14.45,-56.8,Hotel Karysmã
604,Talavera,PH,80.6,broken clouds,15.62,120.93,R&G's Resort
605,Gurupi,BR,80.83,clear sky,-11.73,-49.07,Via Norte Hotel
606,Santiago Del Estero,AR,81.19,scattered clouds,-27.8,-64.26,Hotel Urbano
607,Samarai,PG,80.01,broken clouds,-10.62,150.67,Nuli Sapi
615,Todos Santos,MX,84.0,clear sky,23.45,-110.22,Hotel California Todos Santos
630,Maumere,ID,83.48,overcast clouds,-8.62,122.21,Sylvia Hotel
631,Pandan,PH,86.36,overcast clouds,14.05,124.17,Bonifacio Lodge
634,Marawi,PH,81.0,clear sky,8.0,124.29,Derogongan Residence
637,Gondanglegi,ID,83.97,overcast clouds,-7.75,112.01,Gg. Munasir Homestay
640,Ponca City,US,84.2,clear sky,36.71,-97.09,Holiday Inn Express & Suites Ponca City
648,Lingao,CN,83.32,light rain,19.91,109.69,Lingao Ditai Inn
651,Barahona,DO,81.03,overcast clouds,18.21,-71.1,Hotel Caribe
655,Santa Cruz,BO,84.2,clear sky,-17.8,-63.17,Hotel Cortez
660,Wanning,CN,84.56,overcast clouds,18.8,110.4,Paradise Hotel
667,Daru,PG,82.24,scattered clouds,-9.08,143.21,New century hotel
669,Pangkalanbuun,ID,81.43,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
674,Ixtapa,MX,86.0,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
675,Noumea,NC,82.0,overcast clouds,-22.28,166.46,Hôtel Le Lagon
677,Katherine,AU,87.8,overcast clouds,-14.47,132.27,Pine Tree Motel
